代數,10000
粒子數,10
旋轉角度上界,0.000400000000000
旋轉角度下界,0.000400000000000
旋轉角度,0.000400000000000
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10345850.569999998435378
真實報酬,345850.569999998435378

預期報酬,18598.927699604737427
風險,38512.164454142694012
起點值,0.482936442633623
找到最佳解世代,9381
找到最佳解實驗#,1
找到最佳解次數,1

Number of chosen,6
AAPL,DIS,INTC,JNJ,V,VZ
Stock#,AAPL,DIS,INTC,JNJ,V,VZ
張數,23940,61657,46045,42098,63949,83542
分配資金,673684.000000000000000,1894736.000000000000000,905263.000000000000000,2673684.000000000000000,1326315.000000000000000,2526315.000000000000000
剩餘資金,12.400000000023283,16.389999999897555,18.300000000046566,40.020000000018626,12.739999999990687,4.919999999925494
FS(1),673684.000000000000000,1894736.000000000000000,905263.000000000000000,2673684.000000000000000,1326315.000000000000000,2526315.000000000000000,10000000.000000000000000
FS(2),671050.600000000093132,1898435.419999999925494,908025.699999999953434,2689260.260000000242144,1314804.179999999934807,2550542.180000000167638,10032121.339999999850988
FS(3),672008.200000000069849,1870073.199999999720603,914932.450000000069849,2701047.699999999720603,1279632.229999999981374,2553048.439999999944121,9990745.219999998807907
FS(4),661235.200000000069849,1901518.269999999785796,942099.000000000116415,2709467.299999999813735,1283469.169999999925494,2553883.859999999869615,10051675.799999998882413
FS(5),646153.000000000000000,1911383.389999999897555,937954.950000000069849,2709888.280000000260770,1277713.760000000009313,2597325.699999999720603,10080422.080000000074506
FS(6),649265.200000000069849,1891653.149999999906868,920457.849999999976717,2704836.520000000018626,1278992.739999999990687,2608186.159999999683350,10053394.620000001043081
FS(7),676556.800000000046566,1892886.289999999804422,921378.750000000116415,2710309.259999999776483,1307130.300000000046566,2600667.379999999888241,10108931.779999999329448
FS(8),671768.800000000046566,1929880.489999999990687,927825.049999999930151,2726727.479999999981374,1316083.159999999916181,2629071.659999999683350,10201359.640000000596046
FS(9),665783.800000000046566,1954543.289999999804422,916313.799999999930151,2730095.319999999832362,1300735.399999999906868,2634919.599999999627471,10202394.209999999031425
FS(10),673684.000000000000000,1962558.699999999720603,919997.400000000023283,2734726.099999999627471,1355092.050000000046566,2620717.459999999962747,10266778.709999999031425
FS(11),664108.000000000000000,1984138.649999999906868,911709.300000000046566,2725464.539999999571592,1377474.199999999953434,2578111.040000000037253,10241008.730000000447035
FS(12),666980.800000000046566,1999552.899999999906868,892370.400000000023283,2727990.419999999925494,1391542.979999999981374,2554719.279999999795109,10233159.779999999329448
FS(13),656207.800000000046566,1968724.399999999906868,878096.450000000069849,2714098.080000000074506,1391542.979999999981374,2563073.479999999981374,10171746.190000001341105
FS(14),668417.200000000069849,1969957.539999999804422,903881.650000000023283,2709888.280000000260770,1422238.500000000000000,2562238.060000000055879,10236624.230000000447035
FS(15),677993.200000000069849,1997703.189999999711290,925062.350000000093132,2708204.359999999869615,1399216.859999999869615,2578946.459999999962747,10287129.419999998062849
FS(16),685175.200000000069849,1992154.060000000055879,922760.099999999976717,2716623.959999999962747,1380032.159999999916181,2593148.599999999627471,10289897.080000000074506
FS(17),691160.200000000069849,1999552.899999999906868,925522.800000000162981,2718307.879999999888241,1377474.199999999953434,2595654.859999999869615,10307675.839999999850988
FS(18),714860.800000000046566,1990920.919999999925494,936113.150000000023283,2723780.620000000111759,1379392.669999999925494,2605679.899999999906868,10350751.060000000521541
FS(19),723718.599999999976717,1967491.260000000009313,934731.800000000046566,2733884.140000000130385,1387066.550000000046566,2615704.939999999944121,10362600.290000000968575
FS(20),715100.200000000069849,1996470.050000000046566,939336.299999999930151,2733884.140000000130385,1407530.229999999981374,2610692.419999999925494,10403016.339999999850988
FS(21),723718.599999999976717,1990304.349999999860302,948084.850000000093132,2732621.199999999720603,1409448.699999999953434,2610692.419999999925494,10414873.120000001043081
FS(22),720606.400000000023283,1988454.639999999897555,939336.299999999930151,2711572.199999999720603,1398577.370000000111759,2587300.659999999683350,10345850.569999998435378
